//   0 = eShinyGreen, 1 = eGold, 2 = eWhite, 3 = eWhite180, 4 = eOrange, 5 = eGray100, 6 = eGray150, 7 = eBlowPink, 8 = eRed, 9 = eExcellent, 10 = eAncient, 11 = eSocket, 12 = eBlue, 13 = eYellow, 14 = eBrown

//Temporada
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	Bonus	WcoinC	AL_Coin	Rank					Color																		
	726	*	1.0		0	0		1		10		10000	39000	500		1		0		0		0		*		5000	50		0		1		"Green Sheep"			12
	727	*	1.0		0	0		1		10		10000	39000	500		1		0		0		0		*		5000	50		0		1		"White Sheep"			12
	728	*	1.0		0	0		1		10		10000	39000	500		1		0		0		0		*		5000	50		0		1		"Purple Sheep"			12
	729	*	1.0		0	0		1		10		10000	39000	500		1		0		0		0		*		5000	50		0		1		"Red Sheep"				12
	795	*	1.0		0	0		1		10		10000	39000	500		1		0		0		0		*		5000	50		0		1		"Cachorro Verde"		12
	796	*	1.0		0	0		1		10		10000	39000	500		1		0		0		0		*		5000	50		0		1		"Cachorro Branco"		12
	797	*	1.0		0	0		1		10		10000	39000	500		1		0		0		0		*		5000	50		0		1		"Cachorro Roxo"			12
	798	*	1.0		0	0		1		10		10000	39000	500		1		0		0		0		*		5000	50		0		1		"Cachorro Amarelo"		12
	739	*	1.0		0	0		1		10		10000	39000	500		1		0		0		0		*		5000	50		0		1		"Macaco Verde"			12
	740	*	1.0		0	0		1		10		10000	39000	500		1		0		0		0		*		5000	50		0		1		"Macaco Branco"			12
	741	*	1.0		0	0		1		10		10000	39000	500		1		0		0		0		*		5000	50		0		1		"Macaco Roxo"			12
	742	*	1.0		0	0		1		10		10000	39000	500		1		0		0		0		*		5000	50		0		1		"Macaco Amarelo"		12
	759	*	1.0		0	0		1		10		10000	39000	500		1		0		0		0		*		5000	50		0		1		"Galo Verde"			12
	760	*	1.0		0	0		1		10		10000	39000	500		1		0		0		0		*		5000	50		0		1		"Galo Branco"			12
	761	*	1.0		0	0		1		10		10000	39000	500		1		0		0		0		*		5000	50		0		1		"Galo Roxo"				12
	762	*	1.0		0	0		1		10		10000	39000	500		1		0		0		0		*		5000	50		0		1		"Galo Amarelo"			12



	675	*	10.0	0	0		1		10		40000	69000	500		5		0		0		0		*		200		50		0		*		"Pouch of Blessing"		12
	676	*	10.0	0	0		1		10		40000	69000	500		5		0		0		0		*		200		50		0		*		"Fire Flame Ghost"		12
	365	*	10.0	0	0		1		10		40000	69000	500		5		0		0		0		*		200		50		0		*		"Pouch of Blessing"		12
	463	*	10.0	0	0		1		10		40000	69000	500		5		0		0		0		*		200		50		0		*		"Fire Flame Ghost"		12
	
	

//Natal
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	Bonus	WcoinC	AL_Coin	Rank					Color																		
	476	*	2100.0	0	50000	10		30		1000	8000	1000	40		0		0		0		*		10000	100		0		1		"Noel Malvadao"			8
	466	*	50.0	0	1000	10		20		50000	200000	160		5		0		0		0		*		5000	50		0		1		"Cursed Goblin"			12
	
end



